"","Condition","Hemisphere","subID","Task","Skill","P_Avg","TP_Avg"
"121","G","Left","P33","N","E",0.41313399976146,-0.771345569828571
"122","G","Left","P33","V","E",0.51470734392832,-0.613539242289086
"123","G","Right","P01","N","N",-0.426510413886425,-0.707671144161332
"124","G","Right","P01","V","N",-0.45712485575648,-0.609889568926553
"125","G","Right","P02","N","N",-0.468515666191703,-0.449386381090944
"126","G","Right","P02","V","N",-0.422001583791205,-0.365995306303065
"127","G","Right","P03","N","N",-0.7371557876829,-0.168721489605279
"128","G","Right","P03","V","N",-0.101349796456172,0.150717427523847
"129","G","Right","P04","N","E",-0.293854070544295,-0.748254362328824
"130","G","Right","P04","V","E",-0.425960147028877,-0.902455128950277
"131","G","Right","P05","N","E",-0.367618844631478,-0.246592040740562
"132","G","Right","P05","V","E",-0.362964879260431,-0.177384365635696
"133","G","Right","P06","N","N",-0.0681716136185261,-0.52986460293677
"134","G","Right","P06","V","N",-0.335480312301195,-0.632366595947237
"135","G","Right","P07","N","E",-0.320282543999383,-0.137478930588259
"136","G","Right","P07","V","E",-0.354501226717436,-0.0756097765231306
"137","G","Right","P08","N","E",-0.441700360714278,-0.384790281038777
"138","G","Right","P08","V","E",-0.526876963876817,-0.373944388365091
"139","G","Right","P10","N","N",-0.0601260374000393,-0.610990704113432
"140","G","Right","P10","V","N",-0.441363957993378,-0.814136451895581
"141","G","Right","P12","N","N",0.196280517950387,-0.425557711066041
"142","G","Right","P12","V","N",0.0853457081755454,-0.374402557554248
"143","G","Right","P13","N","E",-0.268290267907842,-0.660149634574142
"144","G","Right","P13","V","E",-0.338377457413834,-0.62174497181192
"145","G","Right","P14","N","N",-0.0871585576959484,0.193834811722605
"146","G","Right","P14","V","N",-0.156922253457254,0.301719225136299
"147","G","Right","P15","N","E",-0.354296279763967,-0.0906202644545777
"148","G","Right","P15","V","E",-0.591296780845773,-0.172396808790087
"149","G","Right","P16","N","N",0.0765461059188678,-0.252453467206528
"150","G","Right","P16","V","N",0.00096058805836102,-0.217117040500028
"151","G","Right","P17","N","N",-0.270644621483244,-1.53870239194249
"152","G","Right","P17","V","N",-0.583232360770088,-1.62583497138929
"153","G","Right","P18","N","N",-0.0401237606820048,-0.920414212705498
"154","G","Right","P18","V","N",-0.144707259446117,-0.931923044352019
"155","G","Right","P20","N","E",-0.681746967680855,-0.566687117673052
"156","G","Right","P20","V","E",-0.875504324720538,-0.592647086598772
