"","Condition","Hemisphere","subID","Task","Skill","P_Avg","TP_Avg"
"61","C","Right","P32","V","N",-0.155901270396827,-0.15977202483697
"62","C","Right","P33","V","E",-0.0407951494898703,0.360512702398166
"63","G","Left","P01","N","N",-0.231829453641739,-0.801060937763827
"64","G","Left","P01","V","N",-0.549034002911114,-0.695828488585975
"65","G","Left","P02","N","N",-0.243890264397636,-0.998758163730696
"66","G","Left","P02","V","N",-0.275155181213803,-0.929725972547033
"67","G","Left","P03","N","N",-0.481970251158417,-0.591916780158291
"68","G","Left","P03","V","N",-0.329239947358503,-0.444039838138823
"69","G","Left","P04","N","E",-0.157665166003773,-0.330268377372613
"70","G","Left","P04","V","E",-0.488364856420714,-0.596197648968867
"71","G","Left","P05","N","E",-0.555432644076874,-1.14676491771549
"72","G","Left","P05","V","E",-0.510134387662835,-1.01092954866071
"73","G","Left","P06","N","N",-0.278344339939157,-0.74498090346714
"74","G","Left","P06","V","N",-0.5791108508148,-0.740233483199804
"75","G","Left","P07","N","E",-0.456223689336568,-0.564412104295896
"76","G","Left","P07","V","E",-0.401470699178122,-0.472432868226971
"77","G","Left","P08","N","E",-0.359148130350358,-0.376152499776273
"78","G","Left","P08","V","E",-0.317622785321609,-0.26605254717197
"79","G","Left","P10","N","N",-0.370511934171741,-0.653976146678381
"80","G","Left","P10","V","N",-0.533322274675702,-0.777897306114187
"81","G","Left","P12","N","N",-0.36019753191695,-0.950587252149057
"82","G","Left","P12","V","N",-0.321430012418662,-0.967514821031975
"83","G","Left","P13","N","E",-0.179003819360265,-0.827246414683341
"84","G","Left","P13","V","E",-0.189348776276726,-0.883541135304368
"85","G","Left","P14","N","N",-0.348180333471466,-0.705812285648767
"86","G","Left","P14","V","N",-0.392705839760848,-0.627923928675666
"87","G","Left","P15","N","E",-0.293552429644618,-0.635599951096089
"88","G","Left","P15","V","E",-0.487410807120033,-0.910374760065295
"89","G","Left","P16","N","N",0.175955350703639,-0.744557226448676
"90","G","Left","P16","V","N",0.147228983326,-0.732663471950327
"91","G","Left","P17","N","N",-0.223264147365718,-0.647381493155676
"92","G","Left","P17","V","N",-0.452133099159207,-0.738968392385137
"93","G","Left","P18","N","N",-0.510882958577905,-0.588450864812683
"94","G","Left","P18","V","N",-0.776529031241612,-0.54262563022704
"95","G","Left","P20","N","E",-0.403439467818409,-0.856758768636879
"96","G","Left","P20","V","E",-0.613188698715288,-0.980577824692008
"97","G","Left","P21","N","E",0.0682761872357412,-0.626122677038472
"98","G","Left","P21","V","E",0.0659275632424555,-0.626698227380585
"99","G","Left","P22","N","E",-0.660464066788886,-0.431220044913029
"100","G","Left","P22","V","E",-0.878947330223027,-0.56569771926614
"101","G","Left","P23","N","E",-0.426380008246185,-0.897990061773367
"102","G","Left","P23","V","E",-0.502380670327308,-0.777908809984582
"103","G","Left","P24","N","N",-0.84968996083992,-0.45057668585834
"104","G","Left","P24","V","N",-0.910596356608989,-0.300816812727845
"105","G","Left","P25","N","E",-0.999870586386105,-0.746534044151451
"106","G","Left","P25","V","E",-0.83589613874111,-0.763612775127823
"107","G","Left","P26","N","N",-0.750093447909635,-0.927891072771696
"108","G","Left","P26","V","N",-1.0231102227329,-1.05443882105845
"109","G","Left","P27","N","N",-0.0952496966961075,-0.628722525139488
"110","G","Left","P27","V","N",-0.153234479930254,-0.740333992354355
"111","G","Left","P28","N","N",-0.27279651020664,-0.32033255166627
"112","G","Left","P28","V","N",-0.316183251384894,-0.521543435558285
"113","G","Left","P29","N","E",-0.766759036912068,-0.774050522552023
"114","G","Left","P29","V","E",-1.01814146078127,-0.832372479629733
"115","G","Left","P30","N","E",-0.0623693813568456,-0.980331866058718
"116","G","Left","P30","V","E",-0.0898863241331341,-0.915897652513204
"117","G","Left","P31","N","E",-0.0322381205830446,-0.866703597595742
"118","G","Left","P31","V","E",-0.237676398893829,-1.02054733332635
"119","G","Left","P32","N","N",-0.069972106837605,-0.627405315993408
"120","G","Left","P32","V","N",0.0134076977896233,-0.541998982268653
"121","G","Left","P33","N","E",0.136059761138818,-0.682246745848481
"122","G","Left","P33","V","E",0.129128155391955,-0.648195002200465
"123","G","Right","P01","N","N",-0.403009822975107,-0.717432194280645
"124","G","Right","P01","V","N",-0.44183190735208,-0.655367932880001
"125","G","Right","P02","N","N",-0.413663960192668,-0.539928861409547
"126","G","Right","P02","V","N",-0.435467724707315,-0.458095867191042
"127","G","Right","P03","N","N",-0.611797376660861,-0.703613628569097
"128","G","Right","P03","V","N",-0.320362308144912,-0.533550962376478
"129","G","Right","P04","N","E",-0.368733353416641,-1.18862704123583
"130","G","Right","P04","V","E",-0.757387964915338,-1.4691769888132
"131","G","Right","P05","N","E",-0.333419524217061,-0.922180915159453
"132","G","Right","P05","V","E",-0.461928111886085,-0.84398267535885
"133","G","Right","P06","N","N",-0.484010544011318,-0.937115014624414
"134","G","Right","P06","V","N",-0.697685651906569,-0.867786802251152
"135","G","Right","P07","N","E",-0.575020887344585,-0.377329370247776
"136","G","Right","P07","V","E",-0.490607392769806,-0.317523164697906
"137","G","Right","P08","N","E",-0.716859448137333,-0.942989330635726
"138","G","Right","P08","V","E",-0.624596547549469,-0.84642045594241
"139","G","Right","P10","N","N",-0.182526988795844,-0.838096302264999
"140","G","Right","P10","V","N",-0.57336165732449,-1.02791061160592
"141","G","Right","P12","N","N",-0.397544996775027,-0.832563899108834
"142","G","Right","P12","V","N",-0.361491372385047,-0.824486157558333
"143","G","Right","P13","N","E",-0.380805873512819,-0.607191307707352
"144","G","Right","P13","V","E",-0.443269810191938,-0.618317926174225
"145","G","Right","P14","N","N",-0.178251949151529,-0.297640683609231
"146","G","Right","P14","V","N",-0.309015798979672,-0.273673089609685
"147","G","Right","P15","N","E",-0.38243849341318,-0.420963193993706
"148","G","Right","P15","V","E",-0.643934545333631,-0.70923030169471
"149","G","Right","P16","N","N",-0.0197648619171355,-0.595242752441818
