"","Condition","Hemisphere","subID","Task","Skill","P_Avg","TP_Avg"
"155","G","Right","P20","N","E",0.329034888608157,0.815299899268402
"156","G","Right","P20","V","E",0.335937014523321,0.940084043293535
"157","G","Right","P21","N","E",0.358257214319173,0.675950586474834
"158","G","Right","P21","V","E",0.155622353679886,0.66274514946425
"159","G","Right","P22","N","E",0.453681475602367,0.959025710961288
"160","G","Right","P22","V","E",0.657103513266215,1.01281739381741
"161","G","Right","P23","N","E",0.19245310662732,0.428693112196835
"162","G","Right","P23","V","E",0.206237499049488,0.368452194440159
"163","G","Right","P24","N","N",0.486127250732347,0.816479216142446
"164","G","Right","P24","V","N",0.286764991392068,0.63833021687903
"165","G","Right","P25","N","E",0.126434018999824,0.419419819714345
"166","G","Right","P25","V","E",0.0525866115763696,0.334642555960786
"167","G","Right","P26","N","N",0.277427131378097,0.529193870378475
"168","G","Right","P26","V","N",0.273743193710074,0.566892241608886
"169","G","Right","P27","N","N",-0.0412355703735734,0.165768301215506
"170","G","Right","P27","V","N",0.00537101364209325,0.194823775495144
"171","G","Right","P28","N","N",-0.0436904017528107,0.126130474520069
"172","G","Right","P28","V","N",0.0229791450257704,0.378764308125336
"173","G","Right","P29","N","E",0.508276374245912,0.601115976865264
"174","G","Right","P29","V","E",0.463307745805465,0.498410856007018
"175","G","Right","P30","N","E",0.180655507504076,-0.235909910252663
"176","G","Right","P30","V","E",0.23590622529062,-0.199433401485
"177","G","Right","P31","N","E",-0.311780351940533,-0.138672505173601
"178","G","Right","P31","V","E",-0.378054209257055,-0.140843951422144
"179","G","Right","P32","N","N",0.218125620865228,0.0230627424797619
"180","G","Right","P32","V","N",0.0381902629060679,0.00327512962976287
"181","G","Right","P33","N","E",-0.00329198536864278,0.374421485018587
"182","G","Right","P33","V","E",0.120094535871439,0.470317102039479
"183","L","Left","P01","N","N",-0.111599218252399,-0.551085659760447
"184","L","Left","P01","V","N",0.0794237090364466,-0.561292629698092
"185","L","Left","P02","N","N",0.111505495538337,-0.625136540964592
"186","L","Left","P02","V","N",0.197779405103885,-0.591166226354175
"187","L","Left","P03","N","N",0.219701690120171,-0.456352317366415
"188","L","Left","P03","V","N",0.408113877586849,-0.482232960171722
"189","L","Left","P04","N","E",0.701982295380009,0.187440541646738
"190","L","Left","P04","V","E",0.745810780768271,0.187998573344369
"191","L","Left","P05","N","E",0.341033968675537,-0.192123988239894
"192","L","Left","P05","V","E",0.194115640238583,-0.288384456739695
"193","L","Left","P06","N","N",0.256799411165911,-0.494963572087393
"194","L","Left","P06","V","N",0.408294489312487,-0.457595305489783
"195","L","Left","P07","N","E",0.0758460976166888,-0.545310947506202
"196","L","Left","P07","V","E",0.132425417893125,-0.534746046519802
"197","L","Left","P08","N","E",-0.0246436155679215,-0.31899704542333
"198","L","Left","P08","V","E",0.123344505065878,-0.536451822946821
"199","L","Left","P10","N","N",0.132692062147629,-0.381654159110534
"200","L","Left","P10","V","N",0.179104147835969,-0.41856045702815
"201","L","Left","P12","N","N",0.482955240910819,0.183680075840063
"202","L","Left","P12","V","N",0.611735813852124,0.271382536658727
"203","L","Left","P13","N","E",-0.0279010390946953,-0.435476175543425
"204","L","Left","P13","V","E",0.0327308735978002,-0.34650657148005
"205","L","Left","P14","N","N",-0.12319450985889,-0.592934699488255
"206","L","Left","P14","V","N",0.0057656160747766,-0.506233348627583
"207","L","Left","P15","N","E",0.236708081970126,0.0682646410136731
"208","L","Left","P15","V","E",0.313552854588391,0.201461541786664
"209","L","Left","P16","N","N",0.111931833039638,-0.257912970447179
"210","L","Left","P16","V","N",0.115309939613038,-0.275158199779826
"211","L","Left","P17","N","N",-0.0802425211759356,-0.398775272308343
"212","L","Left","P17","V","N",0.167108235859173,-0.355185799445103
"213","L","Left","P18","N","N",0.633526654790265,-0.260784900514605
"214","L","Left","P18","V","N",0.562866731300356,-0.35345472414334
"215","L","Left","P19","N","N",0.249628627870315,-0.117757387645664
"216","L","Left","P19","V","N",0.146609708543361,-0.170253724809797
"217","L","Left","P20","N","E",-0.164449514355204,-0.506205682444083
"218","L","Left","P20","V","E",0.210455136999479,-0.347125734576538
"219","L","Left","P21","N","E",0.0730383941527183,0.0675699238627958
"220","L","Left","P21","V","E",0.0809289438374911,0.0981707479191783
"221","L","Left","P22","N","E",0.344472098427404,-0.586843899334552
"222","L","Left","P22","V","E",0.682054258517819,-0.401275895045561
"223","L","Left","P23","N","E",-0.0757346093328788,-0.624464437437015
"224","L","Left","P23","V","E",0.113094106693127,-0.644478227637297
"225","L","Left","P24","N","N",0.155719715314088,-0.730204865408844
"226","L","Left","P24","V","N",0.331704667101706,-0.666789442667001
"227","L","Left","P25","N","E",0.443909419076011,-0.703730644997718
"228","L","Left","P25","V","E",0.443573384981686,-0.626760497040852
"229","L","Left","P26","N","N",0.157455180203697,-0.510583837945374
"230","L","Left","P26","V","N",0.367748235609942,-0.499503767352742
"231","L","Left","P27","N","N",0.338461009860843,-0.540979866133104
"232","L","Left","P27","V","N",0.389779712814499,-0.572255788287487
"233","L","Left","P28","N","N",0.237157055317328,-0.734212268317627
"234","L","Left","P28","V","N",0.278410701197854,-0.586676934795219
"235","L","Left","P29","N","E",0.0323752134419519,-0.759452305153252
"236","L","Left","P29","V","E",0.58077846635662,-0.385423735043224
"237","L","Left","P30","N","E",-0.0701953865892432,-0.431728876823906
"238","L","Left","P30","V","E",0.0105303055192527,-0.308581673823989
"239","L","Left","P31","N","E",-0.286749297062399,-0.305726067692862
"240","L","Left","P31","V","E",-0.103498870137086,-0.181554435845658
"241","L","Left","P32","N","N",0.357796458910494,-0.453129110243225
"242","L","Left","P32","V","N",0.257542096914708,-0.681423901544945
"243","L","Left","P33","N","E",0.233549926737725,-0.0715689636706869
"244","L","Left","P33","V","E",0.320366497589319,-0.031170935191459
"245","L","Right","P01","N","N",0.0451899063510978,0.0772512656543287
"246","L","Right","P01","V","N",-0.0346199837152671,0.0976661338899026
"247","L","Right","P02","N","N",0.028043930234746,0.0948392638212731
"248","L","Right","P02","V","N",0.0942599929239184,0.069675275385778
"249","L","Right","P03","N","N",-0.4005604076181,0.571362694330132
"250","L","Right","P03","V","N",-0.0516926496393231,0.621488511410537
"251","L","Right","P04","N","E",0.297125034950017,0.617393196633708
"252","L","Right","P04","V","E",0.40417931074913,0.723001110959177
"253","L","Right","P05","N","E",0.253682725753989,0.886759829989379
"254","L","Right","P05","V","E",0.072654677007443,0.590175271906647
"255","L","Right","P06","N","N",0.356707020547821,0.425988073356102
"256","L","Right","P06","V","N",0.531317305013148,0.432857619214167
"257","L","Right","P07","N","E",0.135067479658644,0.102616079389585
"258","L","Right","P07","V","E",0.186553649127673,0.183200491654219
"259","L","Right","P08","N","E",-0.0458601156012567,0.575792511417134
"260","L","Right","P08","V","E",0.104093104701161,0.633791873698411
"261","L","Right","P10","N","N",-0.101087648544142,0.38426730773405
"262","L","Right","P10","V","N",0.0556840365980753,0.213925682796289
"263","L","Right","P12","N","N",0.367710524458324,0.320500746400597
"264","L","Right","P12","V","N",0.491609170629068,0.505518757257272
"265","L","Right","P13","N","E",0.0857089995924321,0.109747588912003
"266","L","Right","P13","V","E",0.170036904327298,0.126364371978068
"267","L","Right","P14","N","N",0.138233406254348,0.694850662900251
"268","L","Right","P14","V","N",0.21907736282795,0.764102542518877
"269","L","Right","P15","N","E",0.0952787685664463,0.603694468523249
"270","L","Right","P15","V","E",0.121408859195541,0.690142269089463
"271","L","Right","P16","N","N",-0.0754785968828361,0.306495819246733
"272","L","Right","P16","V","N",0.0562940282075006,0.498787038508437
"273","L","Right","P17","N","N",-0.201906821069037,-0.414778455772904
"274","L","Right","P17","V","N",0.122450842157969,-0.378357500654277
"275","L","Right","P18","N","N",0.559600783900417,0.492534138576964
"276","L","Right","P18","V","N",0.661329926367933,0.451364783076865
"277","L","Right","P19","N","N",-0.0934829123254879,0.127698471204473
"278","L","Right","P19","V","N",-0.136216576775738,0.0571637409622757
